,breadscrum,cod_item,cod_item_pai,nome,situacao,visibilidade_externa,monocratico,colegiado,presidente_vice,flg_papel,flg_eletronico,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
55,1:193:385:220,220,385,Improcedência,A,S,N,S,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,S,S,S,N,S,S,N,S,N,N,S,S,S,S,S
56,1:193:385:221,221,385,Procedência em Parte,A,S,N,S,N,S,S,S,S,N,S,S,S,N,S,S,S,N,N,N,S,S,S,N,S,S,N,S,N,N,S,S,S,S,S
57,1:193:218:228,228,218,Arquivamento,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S
58,1:193:218:230,230,218,Recurso prejudicado,A,S,S,S,N,S,S,S,N,S,N,S,N,S,N,S,N,S,N,S,N,S,S,N,S,S,N,S,N,S,N,S,S,S,S
59,1:193:218:235,235,218,Não Conhecimento de recurso,A,S,N,S,N,S,S,S,N,S,S,S,N,S,S,S,N,S,N,S,S,S,S,N,S,S,N,S,N,S,S,S,S,S,S
60,1:193:218:236,236,218,Negação de Seguimento,A,S,S,S,S,S,S,S,N,S,S,S,N,S,N,S,N,S,N,S,N,S,S,N,S,S,N,S,N,S,S,S,S,S,S
61,1:193:385:237,237,385,Provimento,A,S,N,S,N,S,S,S,N,S,N,S,N,S,N,S,N,S,N,S,N,S,S,N,S,S,N,S,N,S,N,S,S,S,S
62,1:193:385:238,238,385,Provimento em Parte,A,S,N,S,N,S,S,S,N,S,N,S,N,S,N,S,N,S,N,S,N,S,S,N,S,S,N,S,N,S,N,S,S,S,S
63,1:193:385:239,239,385,Não-Provimento,A,S,N,S,N,S,S,S,N,S,N,S,N,S,N,S,N,S,N,S,N,S,S,N,S,S,N,S,N,S,N,S,S,S,S
64,1:193:385:240,240,385,Conhecimento em Parte e Provimento,A,S,N,S,N,S,S,S,N,S,N,S,N,S,N,S,N,S,N,S,N,S,S,N,S,S,N,S,N,S,N,S,S,S,S
