,breadscrum,cod_item,cod_item_pai,nome,situacao,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
116,2:175:176,176,175,Alimentos - Provisionais,I,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
117,2:175:177,177,175,Apreensão de  Títulos,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
118,2:175:178,178,175,Arresto ,I,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,N
119,2:175:179,179,175,Arrolamento de Bens,I,S,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
120,2:175:180,180,175,Atentado,I,S,N,N,N,N,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N
121,2:175:181,181,175,Busca e Apreensão,I,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,N
122,2:175:182,182,175,Caução,I,S,N,N,N,N,N,N,S,N,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N
123,2:175:183,183,175,Cautelar Inominada,I,S,N,S,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S
124,2:175:186,186,175,Exibição,I,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,N
125,2:175:188,188,175,Homologação do Penhor Legal,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
126,2:175:190,190,175,Justificação,I,S,S,N,S,S,N,N,S,N,S,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,N
127,2:175:191,191,175,Protesto,I,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,N
128,2:175:192,192,175,Posse em Nome do Nascituro,I,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
129,2:175:193,193,175,Produção Antecipada da Prova,A,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S
130,2:175:194,194,175,Regulamentação de Visitas,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
131,2:175:195,195,175,Separação de Corpos,I,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
132,2:175:196,196,175,Seqüestro,I,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,N
133,2:197,197,2,Recursos,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
134,2:197:198,198,197,Apelação Cível,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N
135,2:197:199,199,197,Remessa Necessária Cível,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N
