sigla;dsc_sigla
ips;IPS - Índice de Produtividade dos Servidores
ipsjud;IPSJud - Índice de Produtividade dos Servidores da Área Judiciária
ipsjud1;IPSJud1º - Índice de Produtividade dos Servidores da Área Judiciária no 1º Grau
ipsjud2;IPSJud2º - Índice de Produtividade dos Servidores da Área Judiciária no 2º Grau
ipsjudc1;IPSJudC1º - Índice de Produtividade dos Servidores da Área Judiciária na Fase de Conhecimento do 1º Grau
ipsjudcje;IPSJudCJE - Índice de Produtividade dos Servidores da Área Judiciária na Fase de Conhecimento dos Juizados Especiais
ipsjudex1;IPSJudEx1º - Índice de Produtividade dos Servidores da Área Judiciária na Fase de Execução do 1º Grau
ipsjudexje;IPSJudExJE - Índice de Produtividade dos Servidores da Área Judiciária na Fase de Execução dos Juizados Especiais
ipsjudje;IPSJudJE - Índice de Produtividade dos Servidores da Área Judiciária nos Juizados Especiais
ipsjudstm;IPSJudSTM – Índice de Produtividade dos Servidores da Área Judiciária no STM
ipsjudtr;IPSJudTR - Índice de Produtividade dos Servidores da Área Judiciária nas Turmas Recursais
ipsjudtru;IPSJudTRU - Índice de Produtividade dos Servidores da Área Judiciária nas Turmas Regionais de Uniformização
isupje;ISupJE - Impugnações a Decisões dos Juizados Especiais
je;Número de Juizados Especiais
jg;JG - Assistência Judiciária Gratuita
justica;Ramo de Justiça
k;K - Carga de Trabalho dos Magistrados
k1;K1 - Carga de Trabalho dos Magistrados no 1º Grau
k2;K2º - Carga de Trabalho dos Magistrados no 2º Grau
kc1;KC1º - Carga de Trabalho dos Magistrados na Fase de Conhecimento do 1º Grau
kcje;KCJE - Carga de Trabalho dos Magistrados na Fase de Conhecimento dos Juizados Especiais
kex1;KEx1º - Carga de Trabalho dos Magistrados na Fase de Execução do 1º Grau
kexje;KExJE - Carga de Trabalho dos Magistrados na Fase de Execução dos Juizados Especiais
kje;KJE - Carga de Trabalho dos Magistrados nos Juizados Especiais
kl;KL – Carga de Trabalho Líquida dos Magistrados
kl1;KL1º – Carga de Trabalho Líquida dos Magistrados no 1º Grau
kl2;KL2º – Carga de Trabalho Líquida dos Magistrados no 2º Grau
klcje;KLCJE – Carga de Trabalho Líquida dos Magistrados na Fase de Conhecimento dos Juizados Especiais
klex;KLEx1º – Carga de Trabalho Líquida dos Magistrados na Fase de Execução do 1º Grau
